id,name
employee_conf_seminar_creditinvestigators/appraiserstrainingseminarid,CREDIT INVESTIGATORS/APPRAISERS TRAINING SEMINAR
employee_conf_seminar_creditloansprocessingseminarid,CREDIT LOANS PROCESSING SEMINAR
employee_conf_seminar_crimepreventionmonthid,CRIME PREVENTION MONTH
employee_conf_seminar_criminalinvestigationid,CRIMINAL INVESTIGATION
employee_conf_seminar_crisismanagementcourseid,CRISIS MANAGEMENT COURSE
employee_conf_seminar_crowdmanagementid,CROWD MANAGEMENT
employee_conf_seminar_culturalsolidarity&environmentalcareid,CULTURAL SOLIDARITY & ENVIRONMENTAL CARE
employee_conf_seminar_cultureofpeace&peaceconflictid,CULTURE OF PEACE & PEACE CONFLICT
employee_conf_seminar_customerfocusworkshopid,CUSTOMER FOCUS WORKSHOP
employee_conf_seminar_customerfriendly&officedecorumid,CUSTOMER FRIENDLY & OFFICE DECORUM
employee_conf_seminar_customerrelationid,CUSTOMER RELATION
employee_conf_seminar_customerservicecourseid,CUSTOMER SERVICE COURSE
employee_conf_seminar_customerserviceplusid,CUSTOMER SERVICE PLUS
employee_conf_seminar_customerserviceplusid,CUSTOMER SERVICE PLUS
employee_conf_seminar_customerserviceseminarid,CUSTOMER SERVICE SEMINAR
employee_conf_seminar_dasiasecuritytrainingacademyid,DASIA SECURITY TRAINING ACADEMY
employee_conf_seminar_davaoregionalmarketingconferenceid,DAVAO REGIONAL MARKETING CONFERENCE
employee_conf_seminar_defensivedrivingid,DEFENSIVE DRIVING
employee_conf_seminar_departmentoflaborandemploymentid,DEPARTMENT OF LABOR AND EMPLOYMENT
employee_conf_seminar_departmentoftrade&industryid,DEPARTMENT OF TRADE & INDUSTRY
employee_conf_seminar_derivativesandhedgeacctgid,DERIVATIVES AND HEDGE ACCTG.
employee_conf_seminar_design&adminoftrainingsid,DESIGN & ADMIN OF TRAININGS
employee_conf_seminar_developingagenerationoffutureprofessionalsarmoureoid,DEVELOPING A GENERATION OF FUTURE PROFESSIONALSARMOUREO
employee_conf_seminar_developingmarketingresearchid,DEVELOPING MARKETING RESEARCH
employee_conf_seminar_developingwebapplicationusingvisualstudio2005id,DEVELOPING WEB APPLICATIONUSING VISUAL STUDIO 2005
employee_conf_seminar_dfaseminarid,DFA SEMINAR
employee_conf_seminar_differentbirissuesandregulationsid,DIFFERENT BIR ISSUES AND REGULATIONS
employee_conf_seminar_diocesanskepassemblyid,DIOCESAN SKEP ASSEMBLY
employee_conf_seminar_disseminationofinthumanitarianlawid,DISSEMINATION OF INT. HUMANITARIAN LAW
employee_conf_seminar_disseminationoninternationalhumanitarianlawid,DISSEMINATION ON INTERNATIONAL HUMANITARIAN LAW
employee_conf_seminar_dole-preemploymentseminarid,DOLE-PRE EMPLOYMENT SEMINAR
employee_conf_seminar_domesticplantquarantineofficersid,DOMESTIC PLANT QUARANTINE OFFICERS
employee_conf_seminar_driver'seducation&defensivedrivingid,DRIVER'S EDUCATION & DEFENSIVE DRIVING
employee_conf_seminar_drivers'educationanddefensivedrivingid,DRIVERS' EDUCATION AND DEFENSIVE DRIVING
employee_conf_seminar_drivinglightvehicleid,DRIVING LIGHT VEHICLE
employee_conf_seminar_drivingnc-iiid,DRIVING NC-II
employee_conf_seminar_duties&responsibilitiesandcashoperatingprocedureid,DUTIES & RESPONSIBILITIES AND CASH OPERATING PROCEDURE
employee_conf_seminar_education-industrydialogueid,EDUCATION-INDUSTRY DIALOGUE
employee_conf_seminar_effectivebusinesswritingid,EFFECTIVE BUSINESS WRITING
employee_conf_seminar_effectivecrditandcollectionsystempracticesid,EFFECTIVE CRDIT AND COLLECTION SYSTEM PRACTICES
employee_conf_seminar_effectivecreditadministrationid,EFFECTIVE CREDIT ADMINISTRATION
employee_conf_seminar_effectiveletterwritingid,EFFECTIVE LETTER WRITING
"employee_conf_seminar_effectivemanaging,supervising&monitoringofcredit&collectionoperationsid","EFFECTIVE MANAGING, SUPERVISING & MONITORING OF CREDIT & COLLECTION OPERATIONS"
employee_conf_seminar_effectiveperformanceplanning&jobdescriptionid,EFFECTIVE PERFORMANCE PLANNING & JOB DESCRIPTION
employee_conf_seminar_effectiveverbal&writtencommunicationid,EFFECTIVE VERBAL & WRITTEN COMMUNICATION
employee_conf_seminar_ehneagramseminarid,EHNEAGRAM SEMINAR
employee_conf_seminar_electricalengineeringid,ELECTRICAL ENGINEERING
employee_conf_seminar_emailetiquette&muwebmailserviceid,EMAIL ETIQUETTE & MU WEB MAIL SERVICE
employee_conf_seminar_emotionalintelligence:keytoworkplaceproductivityid,EMOTIONAL INTELLIGENCE: KEY TO WORKPLACE PRODUCTIVITY
employee_conf_seminar_emotionalintelligence:keytoworkplaceproductivityid,EMOTIONAL INTELLIGENCE:KEY TO WORKPLACE PRODUCTIVITY
employee_conf_seminar_empbenefitswithsss&philhealthinsurancecorpid,EMP. BENEFITS WITH SSS & PHILHEALTH INSURANCE CORP.
employee_conf_seminar_employee'sbenefitswithsss&philhealthid,EMPLOYEE'S BENEFITS WITH SSS & PHILHEALTH
employee_conf_seminar_employee'srightid,EMPLOYEE'S RIGHT
employee_conf_seminar_empoweringourselvesforintegralandsustainableexcellenceid,EMPOWERING OURSELVES FOR INTEGRAL AND SUSTAINABLE EXCELLENCE
employee_conf_seminar_engineer'sawarenessandresponsibilityid,ENGINEER'S AWARENESS AND RESPONSIBILITY
"employee_conf_seminar_engineeringlaws,contracts&ethicsid","ENGINEERING LAWS, CONTRACTS & ETHICS"
employee_conf_seminar_engineeringmanagementseminarid,ENGINEERING MANAGEMENT SEMINAR
employee_conf_seminar_englishproficiencytrainingid,ENGLISH PROFICIENCY TRAINING
"employee_conf_seminar_enhancinglearning&awarenessforqualityworklifethroughsss,phlhealth&hdmfid","ENHANCING LEARNING & AWARENESS FOR QUALITY WORK LIFE THROUGH SSS, PHLHEALTH & HDMF"
employee_conf_seminar_entrepreneurialmanagementid,ENTREPRENEURIAL MANAGEMENT
employee_conf_seminar_entrepreneurshipseminarid,ENTREPRENEURSHIP SEMINAR
employee_conf_seminar_entrepreneurshipseminarid,ENTREPRENEURSHIP SEMINAR
employee_conf_seminar_environmentalsummitid,ENVIRONMENTAL SUMMIT
employee_conf_seminar_equippingthestudentforthechallengeofentreprenuership&managementid,EQUIPPING THE STUDENT FOR THE CHALLENGE OF ENTREPRENUERSHIP & MANAGEMENT
employee_conf_seminar_etiqueformodernstudentsid,ETIQUE FOR MODERN STUDENTS
employee_conf_seminar_eventcoordinatingtrainingmanagementid,EVENT COORDINATING TRAINING MANAGEMENT
"employee_conf_seminar_eventcoordinating,trainingmanagementandfacilitationid","EVENT COORDINATING, TRAINING MANAGEMENT AND FACILITATION"
employee_conf_seminar_eventplanning&organizingid,EVENT PLANNING & ORGANIZING
employee_conf_seminar_eventplanning&organizingid,EVENT PLANNING & ORGANIZING
employee_conf_seminar_exhibitofyoungentrepreneuraffairid,EXHIBIT OF YOUNG ENTREPRENEUR AFFAIR
employee_conf_seminar_expendituretaxationid,EXPENDITURE TAXATION
employee_conf_seminar_exploringfinancialfunctionsid,EXPLORING FINANCIAL FUNCTIONS
employee_conf_seminar_exploringtheworldoffinanceid,EXPLORING THE WORLD OF FINANCE
employee_conf_seminar_exposingtheproficiencyofatcstudent:marketingchalleges&prospectid,EXPOSING THE PROFICIENCY OF ATC STUDENT:MARKETING CHALLEGES & PROSPECT
employee_conf_seminar_fieldpromotionworkshop&sellingskillstrainingid,FIELD PROMOTION WORKSHOP & SELLING SKILLS TRAINING
employee_conf_seminar_fieldsecurityandsafetyid,FIELD SECURITY AND SAFETY
employee_conf_seminar_financeliteracycaravanid,FINANCE LITERACY CARAVAN
employee_conf_seminar_financialeducationid,FINANCIAL EDUCATION
employee_conf_seminar_financiallifeofthephilippineseconomyid,FINANCIAL LIFE OF THE PHILIPPINES ECONOMY
employee_conf_seminar_financialliteracyid,FINANCIAL LITERACY
employee_conf_seminar_financialliteracyid,FINANCIAL LITERACY
employee_conf_seminar_financialliteracyid,FINANCIAL LITERACY
employee_conf_seminar_financialliteracyid,FINANCIAL LITERACY
