"id","request_type_id:id","request_source_id:id"
"approval_rule_v6_payment_tig__salaries and wages_tig","request_type_v6_salaries and wages","request_source_v6_tig"
"approval_rule_v6_payment_tig__payables_tig","request_type_v6_payables","request_source_v6_tig"
"approval_rule_v6_payment_tig__employees' incentives_bu main","request_type_v6_employees' incentives","request_source_v6_bu main"
"approval_rule_v6_payment_tig__separation pay_tig","request_type_v6_separation pay","request_source_v6_tig"
"approval_rule_v6_payment_tig_mis_payables_tig","request_type_v6_payables","request_source_v6_tig"
"approval_rule_v6_payment_tig__payables_bu main","request_type_v6_payables","request_source_v6_bu main"
"approval_rule_v6_payment_tig__dividend_tig","request_type_v6_dividend","request_source_v6_tig"
"approval_rule_v6_payment_tig__salaries and wages_bu main","request_type_v6_salaries and wages","request_source_v6_bu main"
"approval_rule_v6_payment_tig__payables_cbgfi","request_type_v6_payables","request_source_v6_cbgfi"
"approval_rule_v6_payment_tig__separation pay_bu main","request_type_v6_separation pay","request_source_v6_bu main"
"approval_rule_v6_purchase_branch__purchases (capex)_bu main","request_type_v6_purchases (capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_branch__purchases(non-capex it equipment)_bu main","request_type_v6_purchases(non-capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_branch__purchase (not capex)_revolving fund","request_type_v6_purchase (not capex)","request_source_v6_revolving fund"
"approval_rule_v6_purchase_branch__purchase (not capex)_bu main","request_type_v6_purchase (not capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_branch__purchases ( trade inventory)_bu main","request_type_v6_purchases ( trade inventory)","request_source_v6_bu main"
"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main","request_type_v6_purchases(capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_brdc head office __trade inventory_mother account","request_type_v6_trade inventory","request_source_v6_mother account"
"approval_rule_v6_purchase_brdc head office __purchases that are not capex_revolving fund","request_type_v6_purchases that are not capex","request_source_v6_revolving fund"
"approval_rule_v6_purchase_brdc head office __purchases (capex)_mother account","request_type_v6_purchases (capex)","request_source_v6_mother account"
"approval_rule_v6_purchase_brdc head office __purchases(capex it equipment)_mother account","request_type_v6_purchases(capex it equipment)","request_source_v6_mother account"
"approval_rule_v6_purchase_head office__purchase (not capex)_bu main","request_type_v6_purchase (not capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_head office__trade inventory _bu main","request_type_v6_trade inventory","request_source_v6_bu main"
"approval_rule_v6_purchase_head office__purchases(capex it equipment)_bu main","request_type_v6_purchases(capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_head office__purchases (capex)_bu main","request_type_v6_purchases (capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_head office__purchase ( not capex-it equipment)_bu main","request_type_v6_purchase ( not capex-it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_hlrdc head office__supplies_bu main","request_type_v6_supplies","request_source_v6_bu main"
"approval_rule_v6_purchase_hlrdc head office__purchases(capex it equipment)_bu main","request_type_v6_purchases(capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_hlrdc head office__purchases (capex)_bu main","request_type_v6_purchases (capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_hlrdc head office__trade inventory_bu main","request_type_v6_trade inventory","request_source_v6_bu main"
"approval_rule_v6_purchase_insurance services__purchase ( supplies )_insurance services","request_type_v6_purchase ( supplies )","request_source_v6_insurance services"
"approval_rule_v6_purchase_insurance services__purchase ( capex-it equipment)_insurance services","request_type_v6_purchase ( capex-it equipment)","request_source_v6_insurance services"
"approval_rule_v6_purchase_insurance services__purchase ( capex )_insurance services","request_type_v6_purchase ( capex )","request_source_v6_insurance services"
"approval_rule_v6_purchase_pumgas head office__purchases that are not capex_revolving fund","request_type_v6_purchases that are not capex","request_source_v6_revolving fund"
"approval_rule_v6_purchase_pumgas head office__purchases (capex)_mother account","request_type_v6_purchases (capex)","request_source_v6_mother account"
"approval_rule_v6_purchase_pumgas head office__purchases(capex it equipment)_mother account","request_type_v6_purchases(capex it equipment)","request_source_v6_mother account"
"approval_rule_v6_purchase_tig_mis_purchases ( not capex)_bu main","request_type_v6_purchases ( not capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig_mis_trade inventory_bu main","request_type_v6_trade inventory","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__trade inventory (sp)_bu main","request_type_v6_trade inventory (sp)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig_mis_purchases(office supplies)_bu main","request_type_v6_purchases(office supplies)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig_mis_purchases(capex)_bu main","request_type_v6_purchases(capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__purchases(office supplies)_tig","request_type_v6_purchases(office supplies)","request_source_v6_tig"
"approval_rule_v6_purchase_tig__purchases (capex)_tig","request_type_v6_purchases (capex)","request_source_v6_tig"
"approval_rule_v6_purchase_tig_mis_purchases (non-capex it equipment)_bu main","request_type_v6_purchases (non-capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main","request_type_v6_purchases (non-capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__trade inventory (mc)_bu main","request_type_v6_trade inventory (mc)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig_mis_purchases(capex it equipment)_bu main","request_type_v6_purchases(capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__purchases ( not capex)_bu main","request_type_v6_purchases ( not capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__purchases(office supplies)_bu main","request_type_v6_purchases(office supplies)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__purchases(capex)_bu main","request_type_v6_purchases(capex)","request_source_v6_bu main"
"approval_rule_v6_purchase_tig__purchases(capex it equipment)_bu main","request_type_v6_purchases(capex it equipment)","request_source_v6_bu main"
"approval_rule_v6_repairs_tig__repairs & maintenance_tig","request_type_v6_repairs & maintenance","request_source_v6_tig"
"approval_rule_v6_repairs_tig__repairs (capex)_tig","request_type_v6_repairs (capex)","request_source_v6_tig"
"approval_rule_v6_repairs_tig_mis_repairs & maintenance_tig","request_type_v6_repairs & maintenance","request_source_v6_tig"
"approval_rule_v6_repairs_tig__repairs and maintenance_bu main","request_type_v6_repairs and maintenance","request_source_v6_bu main"
"approval_rule_v6_repairs_tig_mis_repairs (capex)_tig","request_type_v6_repairs (capex)","request_source_v6_tig"
