"id","hr_job_id:id","priority","amount","approval_rule_id:id"
"approval_chain_537","muti_hrms_data.1136",4,0,"approval_rule_v6_cash_tig_mis_freight and handling_bu main"
"approval_chain_539","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_freight and handling_petty cash fund"
"approval_chain_540","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_freight and handling_petty cash fund"
"approval_chain_542","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_advances for operations_bu main"
"approval_chain_543","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_advances for operations_bu main"
"approval_chain_544","muti_hrms_data.6208",4,5000,"approval_rule_v6_cash_tig_mis_advances for operations_bu main"
"approval_chain_545","muti_hrms_data.1136",5,10000,"approval_rule_v6_cash_tig_mis_advances for operations_bu main"
"approval_chain_547","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_advances to sister company_tig"
"approval_chain_548","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_advances to sister company_tig"
"approval_chain_550","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_professional fee_tig"
"approval_chain_551","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig_mis_professional fee_tig"
"approval_chain_553","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_mortuary_bu main"
"approval_chain_554","muti_hrms_data.6208",3,0,"approval_rule_v6_cash_tig_mis_mortuary_bu main"
"approval_chain_555","muti_hrms_data.1136",4,0,"approval_rule_v6_cash_tig_mis_mortuary_bu main"
"approval_chain_557","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig_mis_fund transfer_tig"
"approval_chain_559","hr_job_immediate superior",2,0,"approval_rule_v6_others_tig_mis_travel and transportation_tig"
"approval_chain_560","hr_job_immediate superior",3,0,"approval_rule_v6_others_tig_mis_travel and transportation_tig"
"approval_chain_562","hr_job_immediate superior",2,0,"approval_rule_v6_payment_tig_mis_payables_tig"
"approval_chain_563","muti_hrms_data.11033",3,0,"approval_rule_v6_payment_tig_mis_payables_tig"
"approval_chain_565","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_tig_mis_salaries and wages_bu main"
"approval_chain_566","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_tig_mis_salaries and wages_bu main"
"approval_chain_568","muti_hrms_data.11033",2,0,"approval_rule_v6_payment_tig_mis_rentals_tig"
"approval_chain_570","muti_hrms_data.11033",2,0,"approval_rule_v6_payment_tig_mis_dividend_tig"
"approval_chain_572","hr_job_immediate superior",2,0,"approval_rule_v6_payment_tig_mis_salaries and wages_tig"
"approval_chain_575","muti_hrms_data.11033",2,0,"approval_rule_v6_payment_tig_mis_payables_bu main"
"approval_chain_576","muti_hrms_data.6208",3,0,"approval_rule_v6_payment_tig_mis_payables_bu main"
"approval_chain_577","muti_hrms_data.1136",4,0,"approval_rule_v6_payment_tig_mis_payables_bu main"
"approval_chain_579","muti_hrms_data.11033",2,0,"approval_rule_v6_purchase_tig_mis_purchases(capex)_bu main"
"approval_chain_580","muti_hrms_data.6208",3,0,"approval_rule_v6_purchase_tig_mis_purchases(capex)_bu main"
"approval_chain_581","muti_hrms_data.1136",4,0,"approval_rule_v6_purchase_tig_mis_purchases(capex)_bu main"
"approval_chain_582","muti_hrms_data.1043",5,0,"approval_rule_v6_purchase_tig_mis_purchases(capex)_bu main"
"approval_chain_584","muti_hrms_data.6208",3,0,"approval_rule_v6_purchase_tig_mis_purchases(capex it equipment)_bu main"
"approval_chain_585","muti_hrms_data.1136",4,0,"approval_rule_v6_purchase_tig_mis_purchases(capex it equipment)_bu main"
"approval_chain_586","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig_mis_purchases(capex it equipment)_bu main"
"approval_chain_588","muti_hrms_data.11033",3,0,"approval_rule_v6_purchase_tig_mis_purchases(office supplies)_bu main"
"approval_chain_589","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_tig_mis_purchases(office supplies)_bu main"
"approval_chain_590","muti_hrms_data.1136",5,0,"approval_rule_v6_purchase_tig_mis_purchases(office supplies)_bu main"
"approval_chain_591","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig_mis_purchases(office supplies)_bu main"
"approval_chain_593","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig_mis_trade inventory_bu main"
"approval_chain_594","muti_hrms_data.11033",3,0,"approval_rule_v6_purchase_tig_mis_trade inventory_bu main"
"approval_chain_595","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_tig_mis_trade inventory_bu main"
"approval_chain_596","muti_hrms_data.1136",5,0,"approval_rule_v6_purchase_tig_mis_trade inventory_bu main"
"approval_chain_597","muti_hrms_data.1043",6,0,"approval_rule_v6_purchase_tig_mis_trade inventory_bu main"
"approval_chain_599","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig_mis_purchases (non-capex it equipment)_bu main"
"approval_chain_600","muti_hrms_data.11033",3,0,"approval_rule_v6_purchase_tig_mis_purchases (non-capex it equipment)_bu main"
"approval_chain_601","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_tig_mis_purchases (non-capex it equipment)_bu main"
"approval_chain_603","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig_mis_purchases ( not capex)_bu main"
"approval_chain_604","muti_hrms_data.11033",3,0,"approval_rule_v6_purchase_tig_mis_purchases ( not capex)_bu main"
"approval_chain_605","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_tig_mis_purchases ( not capex)_bu main"
