company_id:id,id,name
muti_base.res_company_bu000001id,hr_department_01000084id,RURAL BANK OF NORALA
muti_base.res_company_branch_mutihomeoffice,hr_department_01000036id,SALES & MARKETING
muti_base.res_company_bu000001id,hr_department_01000075id,SAN FRANCISCO
muti_base.res_company_branch_mutihomeoffice,hr_department_01000020id,SECURITY FORCE
muti_base.res_company_branch_mutihomeoffice,hr_department_01000091id,SPAREPARTS
muti_base.res_company_branch_mutihomeoffice,hr_department_01000117id,SPAREPARTS - OPERATIONS
muti_base.res_company_branch_mutihomeoffice,hr_department_01000115id,SPAREPARTS AND SERVICE
muti_base.res_company_branch_mutihomeoffice,hr_department_01000106id,SPAREPARTS-RETAIL
muti_base.res_company_branch_mutihomeoffice,hr_department_01000108id,SPAREPARTS-WAREHOUSE
muti_base.res_company_branch_mutihomeoffice,hr_department_01000107id,SPAREPARTS-WHOLESALE
muti_base.res_company_branch_mutihomeoffice,hr_department_01000094id,STO. NINO PROPER
muti_base.res_company_bu000001id,hr_department_01000103id,SURALAH
muti_base.res_company_bu000001id,hr_department_01000102id,SURALLAH
muti_base.res_company_bu000001id,hr_department_01000037id,SUZUKI 3S
muti_base.res_company_bu000001id,hr_department_01000006id,TACURONG
muti_base.res_company_bu000001id,hr_department_01000047id,TAGUM
muti_base.res_company_bu000001id,hr_department_01000078id,TAGUM 2
muti_base.res_company_bu000001id,hr_department_01000087id,TAMPAKAN
muti_base.res_company_bu000001id,hr_department_01000054id,TANTANGAN
muti_base.res_company_bu000001id,hr_department_01000002id,TORIL
muti_base.res_company_bu000001id,hr_department_01000052id,TUPI
muti_base.res_company_bu000001id,hr_department_01000061id,VALENCIA
muti_base.res_company_bu000001id,hr_department_01000109id,VILLA AMOR SHOWROOM - M
muti_base.res_company_branch_mutihomeoffice,hr_department_01000034id,VMI-MAIN
muti_base.res_company_branch_mutihomeoffice,hr_department_01000105id,WAREHOUSE-PARTS
